vGBL Period,vGBL Version,vGBL Account,vGBL Cost Centre,vCST Cost Pool,vCST Service Line,vCST Account Config Measure,vAmount
2026-04,Budget,6001,D001,CP01,Input,Driver Percentage Share,63.7
2026-04,Budget,6001,D001,CP05,Input,Driver Percentage Share,36.3
2026-04,Budget,6001,D002,CP09,Input,Driver Percentage Share,94.89
2026-04,Budget,6001,D002,CP02,Input,Driver Percentage Share,5.11
2026-04,Budget,6001,D003,CP04,Input,Driver Percentage Share,95.01
2026-04,Budget,6001,D003,CP09,Input,Driver Percentage Share,4.99
2026-04,Budget,6001,D004,CP09,Input,Driver Percentage Share,28.14
2026-04,Budget,6001,D004,CP07,Input,Driver Percentage Share,17.42
2026-04,Budget,6001,D004,CP02,Input,Driver Percentage Share,54.44
2026-04,Budget,6001,D005,CP07,Input,Driver Percentage Share,10.73
2026-04,Budget,6001,D005,CP06,Input,Driver Percentage Share,66.05
2026-04,Budget,6001,D005,CP03,Input,Driver Percentage Share,23.22
2026-04,Budget,6001,D006,CP07,Input,Driver Percentage Share,51.07
2026-04,Budget,6001,D006,CP02,Input,Driver Percentage Share,48.93
2026-04,Budget,6001,D007,CP01,Input,Driver Percentage Share,35.6
2026-04,Budget,6001,D007,CP08,Input,Driver Percentage Share,13.85
2026-04,Budget,6001,D007,CP05,Input,Driver Percentage Share,20.2
2026-04,Budget,6001,D007,CP09,Input,Driver Percentage Share,30.35
2026-04,Budget,6001,D008,CP04,Input,Driver Percentage Share,27.46
2026-04,Budget,6001,D008,CP02,Input,Driver Percentage Share,34.87
2026-04,Budget,6001,D008,CP01,Input,Driver Percentage Share,9.62
2026-04,Budget,6001,D008,CP06,Input,Driver Percentage Share,28.05
2026-04,Budget,6001,D009,CP07,Input,Driver Percentage Share,35.22
2026-04,Budget,6001,D009,CP05,Input,Driver Percentage Share,64.78
2026-04,Budget,6001,D010,CP06,Input,Driver Percentage Share,32.61
2026-04,Budget,6001,D010,CP09,Input,Driver Percentage Share,34.14
2026-04,Budget,6001,D010,CP02,Input,Driver Percentage Share,33.25
2026-04,Budget,6001,D011,CP03,Input,Driver Percentage Share,30.1
2026-04,Budget,6001,D011,CP04,Input,Driver Percentage Share,69.9
2026-04,Budget,6001,D012,CP06,Input,Driver Percentage Share,40.52
2026-04,Budget,6001,D012,CP01,Input,Driver Percentage Share,39.7
2026-04,Budget,6001,D012,CP02,Input,Driver Percentage Share,19.78
2026-04,Budget,6001,D013,CP04,Input,Driver Percentage Share,29.87
2026-04,Budget,6001,D013,CP06,Input,Driver Percentage Share,70.13
2026-04,Budget,6001,D014,CP03,Input,Driver Percentage Share,20.26
2026-04,Budget,6001,D014,CP05,Input,Driver Percentage Share,28.08
2026-04,Budget,6001,D014,CP02,Input,Driver Percentage Share,16.11
2026-04,Budget,6001,D014,CP07,Input,Driver Percentage Share,21.94
2026-04,Budget,6001,D014,CP08,Input,Driver Percentage Share,13.61
2026-04,Budget,6001,D015,CP09,Input,Driver Percentage Share,42.7
2026-04,Budget,6001,D015,CP08,Input,Driver Percentage Share,48.66
2026-04,Budget,6001,D015,CP01,Input,Driver Percentage Share,8.64
2026-04,Budget,6001,D016,CP07,Input,Driver Percentage Share,20.01
2026-04,Budget,6001,D016,CP02,Input,Driver Percentage Share,52.24
2026-04,Budget,6001,D016,CP04,Input,Driver Percentage Share,27.75
2026-04,Budget,6001,D017,CP02,Input,Driver Percentage Share,69.32
2026-04,Budget,6001,D017,CP05,Input,Driver Percentage Share,30.68
2026-04,Budget,6002,D001,CP07,Input,Driver Percentage Share,36.77
2026-04,Budget,6002,D001,CP03,Input,Driver Percentage Share,33.77
2026-04,Budget,6002,D001,CP04,Input,Driver Percentage Share,10.16
2026-04,Budget,6002,D001,CP01,Input,Driver Percentage Share,19.3
2026-04,Budget,6002,D002,CP09,Input,Driver Percentage Share,31.67
2026-04,Budget,6002,D002,CP02,Input,Driver Percentage Share,42.62
2026-04,Budget,6002,D002,CP07,Input,Driver Percentage Share,25.71
2026-04,Budget,6002,D003,CP03,Input,Driver Percentage Share,7.93
2026-04,Budget,6002,D003,CP06,Input,Driver Percentage Share,46.8
2026-04,Budget,6002,D003,CP07,Input,Driver Percentage Share,45.27
2026-04,Budget,6002,D004,CP06,Input,Driver Percentage Share,2.05
2026-04,Budget,6002,D004,CP08,Input,Driver Percentage Share,97.95
2026-04,Budget,6002,D005,CP04,Input,Driver Percentage Share,59.64
2026-04,Budget,6002,D005,CP01,Input,Driver Percentage Share,5.39
2026-04,Budget,6002,D005,CP02,Input,Driver Percentage Share,30.61
2026-04,Budget,6002,D005,CP05,Input,Driver Percentage Share,4.36
2026-04,Budget,6002,D006,CP03,Input,Driver Percentage Share,12.71
2026-04,Budget,6002,D006,CP08,Input,Driver Percentage Share,40.61
2026-04,Budget,6002,D006,CP05,Input,Driver Percentage Share,46.68
2026-04,Budget,6002,D007,CP09,Input,Driver Percentage Share,15.93
2026-04,Budget,6002,D007,CP04,Input,Driver Percentage Share,50.86
2026-04,Budget,6002,D007,CP06,Input,Driver Percentage Share,33.21
2026-04,Budget,6002,D008,CP09,Input,Driver Percentage Share,5.19
2026-04,Budget,6002,D008,CP08,Input,Driver Percentage Share,1.7
2026-04,Budget,6002,D008,CP01,Input,Driver Percentage Share,44.87
2026-04,Budget,6002,D008,CP02,Input,Driver Percentage Share,47.66
2026-04,Budget,6002,D008,CP06,Input,Driver Percentage Share,0.58
2026-04,Budget,6002,D009,CP04,Input,Driver Percentage Share,51.3
2026-04,Budget,6002,D009,CP02,Input,Driver Percentage Share,48.7
2026-04,Budget,6002,D010,CP09,Input,Driver Percentage Share,36.46
2026-04,Budget,6002,D010,CP04,Input,Driver Percentage Share,63.54
2026-04,Budget,6002,D011,CP08,Input,Driver Percentage Share,48.54
2026-04,Budget,6002,D011,CP04,Input,Driver Percentage Share,41.78
2026-04,Budget,6002,D011,CP07,Input,Driver Percentage Share,9.68
2026-04,Budget,6002,D012,CP06,Input,Driver Percentage Share,26.96
2026-04,Budget,6002,D012,CP07,Input,Driver Percentage Share,39.4
2026-04,Budget,6002,D012,CP04,Input,Driver Percentage Share,3.94
2026-04,Budget,6002,D012,CP08,Input,Driver Percentage Share,16.12
2026-04,Budget,6002,D012,CP01,Input,Driver Percentage Share,13.58
2026-04,Budget,6002,D013,CP04,Input,Driver Percentage Share,29.77
2026-04,Budget,6002,D013,CP09,Input,Driver Percentage Share,70.23
2026-04,Budget,6002,D014,CP03,Input,Driver Percentage Share,15.26
2026-04,Budget,6002,D014,CP05,Input,Driver Percentage Share,29.65
2026-04,Budget,6002,D014,CP04,Input,Driver Percentage Share,18.95
2026-04,Budget,6002,D014,CP02,Input,Driver Percentage Share,1.74
2026-04,Budget,6002,D014,CP01,Input,Driver Percentage Share,34.4
2026-04,Budget,6002,D015,CP02,Input,Driver Percentage Share,25.51
2026-04,Budget,6002,D015,CP04,Input,Driver Percentage Share,74.49
2026-04,Budget,6002,D016,CP07,Input,Driver Percentage Share,23.25
2026-04,Budget,6002,D016,CP01,Input,Driver Percentage Share,60.47
2026-04,Budget,6002,D016,CP02,Input,Driver Percentage Share,16.28
2026-04,Budget,6002,D017,CP05,Input,Driver Percentage Share,41.0
2026-04,Budget,6002,D017,CP07,Input,Driver Percentage Share,30.14
2026-04,Budget,6002,D017,CP06,Input,Driver Percentage Share,11.76
2026-04,Budget,6002,D017,CP08,Input,Driver Percentage Share,13.48
2026-04,Budget,6002,D017,CP09,Input,Driver Percentage Share,3.62
2026-04,Budget,6003,D001,CP06,Input,Driver Percentage Share,9.52
2026-04,Budget,6003,D001,CP01,Input,Driver Percentage Share,90.48
2026-04,Budget,6003,D002,CP01,Input,Driver Percentage Share,12.76
2026-04,Budget,6003,D002,CP02,Input,Driver Percentage Share,40.87
2026-04,Budget,6003,D002,CP07,Input,Driver Percentage Share,46.37
2026-04,Budget,6003,D003,CP07,Input,Driver Percentage Share,16.86
2026-04,Budget,6003,D003,CP02,Input,Driver Percentage Share,40.72
2026-04,Budget,6003,D003,CP05,Input,Driver Percentage Share,42.42
2026-04,Budget,6003,D004,CP09,Input,Driver Percentage Share,12.41
2026-04,Budget,6003,D004,CP06,Input,Driver Percentage Share,20.59
2026-04,Budget,6003,D004,CP03,Input,Driver Percentage Share,34.94
2026-04,Budget,6003,D004,CP02,Input,Driver Percentage Share,15.61
2026-04,Budget,6003,D004,CP07,Input,Driver Percentage Share,16.45
2026-04,Budget,6003,D005,CP01,Input,Driver Percentage Share,52.46
2026-04,Budget,6003,D005,CP08,Input,Driver Percentage Share,47.54
2026-04,Budget,6003,D006,CP02,Input,Driver Percentage Share,79.25
2026-04,Budget,6003,D006,CP04,Input,Driver Percentage Share,20.75
2026-04,Budget,6003,D007,CP02,Input,Driver Percentage Share,6.84
2026-04,Budget,6003,D007,CP04,Input,Driver Percentage Share,36.14
2026-04,Budget,6003,D007,CP03,Input,Driver Percentage Share,30.5
2026-04,Budget,6003,D007,CP07,Input,Driver Percentage Share,26.52
2026-04,Budget,6003,D008,CP09,Input,Driver Percentage Share,89.99
2026-04,Budget,6003,D008,CP05,Input,Driver Percentage Share,10.01
2026-04,Budget,6003,D009,CP05,Input,Driver Percentage Share,62.93
2026-04,Budget,6003,D009,CP02,Input,Driver Percentage Share,13.18
2026-04,Budget,6003,D009,CP01,Input,Driver Percentage Share,23.89
2026-04,Budget,6003,D010,CP06,Input,Driver Percentage Share,45.73
2026-04,Budget,6003,D010,CP04,Input,Driver Percentage Share,19.04
2026-04,Budget,6003,D010,CP09,Input,Driver Percentage Share,35.23
2026-04,Budget,6003,D011,CP02,Input,Driver Percentage Share,94.95
2026-04,Budget,6003,D011,CP07,Input,Driver Percentage Share,5.05
2026-04,Budget,6003,D012,CP03,Input,Driver Percentage Share,24.27
2026-04,Budget,6003,D012,CP05,Input,Driver Percentage Share,38.77
2026-04,Budget,6003,D012,CP02,Input,Driver Percentage Share,30.81
2026-04,Budget,6003,D012,CP06,Input,Driver Percentage Share,6.15
2026-04,Budget,6003,D013,CP09,Input,Driver Percentage Share,27.32
2026-04,Budget,6003,D013,CP01,Input,Driver Percentage Share,40.88
2026-04,Budget,6003,D013,CP07,Input,Driver Percentage Share,31.8
2026-04,Budget,6003,D014,CP05,Input,Driver Percentage Share,53.03
2026-04,Budget,6003,D014,CP06,Input,Driver Percentage Share,46.97
2026-04,Budget,6003,D015,CP06,Input,Driver Percentage Share,50.56
2026-04,Budget,6003,D015,CP04,Input,Driver Percentage Share,49.44
2026-04,Budget,6003,D016,CP09,Input,Driver Percentage Share,5.28
2026-04,Budget,6003,D016,CP07,Input,Driver Percentage Share,31.79
2026-04,Budget,6003,D016,CP05,Input,Driver Percentage Share,29.56
2026-04,Budget,6003,D016,CP06,Input,Driver Percentage Share,33.37
2026-04,Budget,6003,D017,CP07,Input,Driver Percentage Share,36.84
2026-04,Budget,6003,D017,CP01,Input,Driver Percentage Share,16.61
2026-04,Budget,6003,D017,CP02,Input,Driver Percentage Share,46.55
2026-04,Budget,6004,D001,CP05,Input,Driver Percentage Share,62.47
2026-04,Budget,6004,D001,CP03,Input,Driver Percentage Share,34.08
