Period,Version,Cost Pool,Driver,Activity,Measure,Value
2026-04,Budget,Input,A01,SL02,Driver Percentage Share,8.54
2026-04,Budget,Input,A01,SL01,Driver Percentage Share,28.16
2026-04,Budget,Input,A01,SL06,Driver Percentage Share,25.87
2026-04,Budget,Input,A01,SL03,Driver Percentage Share,34.11
2026-04,Budget,Input,A01,SL08,Driver Percentage Share,3.32
2026-04,Budget,Input,A01,Input,Pool to Activity Basis,FLOORSPACE
2026-04,Budget,Input,A01,Input,Input Volume,532
2026-04,Budget,Input,A02,SL02,Driver Percentage Share,69.16
2026-04,Budget,Input,A02,SL08,Driver Percentage Share,3.63
2026-04,Budget,Input,A02,SL07,Driver Percentage Share,27.21
2026-04,Budget,Input,A02,Input,Pool to Activity Basis,HEADCOUNT
2026-04,Budget,Input,A02,Input,Input Volume,765
2026-04,Budget,Input,A03,SL07,Driver Percentage Share,30.44
2026-04,Budget,Input,A03,SL02,Driver Percentage Share,0.24
2026-04,Budget,Input,A03,SL04,Driver Percentage Share,30.29
2026-04,Budget,Input,A03,SL05,Driver Percentage Share,26.24
2026-04,Budget,Input,A03,SL03,Driver Percentage Share,12.79
2026-04,Budget,Input,A03,Input,Pool to Activity Basis,ASSETVALUE
2026-04,Budget,Input,A03,Input,Input Volume,259
2026-04,Budget,Input,A04,SL02,Driver Percentage Share,35.51
2026-04,Budget,Input,A04,SL01,Driver Percentage Share,34.02
2026-04,Budget,Input,A04,SL04,Driver Percentage Share,26.17
2026-04,Budget,Input,A04,SL07,Driver Percentage Share,4.3
2026-04,Budget,Input,A04,Input,Pool to Activity Basis,POWERUSAGE
2026-04,Budget,Input,A04,Input,Input Volume,570
2026-04,Budget,Input,A05,SL07,Driver Percentage Share,16.23
2026-04,Budget,Input,A05,SL01,Driver Percentage Share,34.78
2026-04,Budget,Input,A05,SL05,Driver Percentage Share,48.99
2026-04,Budget,Input,A05,Input,Pool to Activity Basis,BEDDAYS
2026-04,Budget,Input,A05,Input,Input Volume,470
2026-04,Budget,Input,A06,SL02,Driver Percentage Share,38.17
2026-04,Budget,Input,A06,SL01,Driver Percentage Share,48.47
2026-04,Budget,Input,A06,SL06,Driver Percentage Share,13.36
2026-04,Budget,Input,A06,Input,Pool to Activity Basis,TRANSACTIONS
2026-04,Budget,Input,A06,Input,Input Volume,338
2026-04,Budget,Input,A07,SL07,Driver Percentage Share,46.37
2026-04,Budget,Input,A07,SL03,Driver Percentage Share,26.62
2026-04,Budget,Input,A07,SL04,Driver Percentage Share,27.01
2026-04,Budget,Input,A07,Input,Pool to Activity Basis,FLOORSPACE
2026-04,Budget,Input,A07,Input,Input Volume,314
2026-04,Budget,Input,A08,SL02,Driver Percentage Share,35.35
2026-04,Budget,Input,A08,SL05,Driver Percentage Share,16.2
2026-04,Budget,Input,A08,SL06,Driver Percentage Share,30.59
2026-04,Budget,Input,A08,SL08,Driver Percentage Share,17.86
2026-04,Budget,Input,A08,Input,Pool to Activity Basis,HEADCOUNT
2026-04,Budget,Input,A08,Input,Input Volume,755
2026-04,Budget,Input,A09,SL04,Driver Percentage Share,27.33
2026-04,Budget,Input,A09,SL06,Driver Percentage Share,26.77
2026-04,Budget,Input,A09,SL03,Driver Percentage Share,13.34
2026-04,Budget,Input,A09,SL01,Driver Percentage Share,2.2
2026-04,Budget,Input,A09,SL02,Driver Percentage Share,30.36
2026-04,Budget,Input,A09,Input,Pool to Activity Basis,ASSETVALUE
2026-04,Budget,Input,A09,Input,Input Volume,680
2026-04,Budget,Input,A10,SL06,Driver Percentage Share,34.63
2026-04,Budget,Input,A10,SL02,Driver Percentage Share,25.16
2026-04,Budget,Input,A10,SL08,Driver Percentage Share,5.59
2026-04,Budget,Input,A10,SL04,Driver Percentage Share,5.46
2026-04,Budget,Input,A10,SL05,Driver Percentage Share,29.16
2026-04,Budget,Input,A10,Input,Pool to Activity Basis,POWERUSAGE
2026-04,Budget,Input,A10,Input,Input Volume,651
2026-04,Budget,Input,A11,SL07,Driver Percentage Share,30.73
2026-04,Budget,Input,A11,SL05,Driver Percentage Share,4.26
2026-04,Budget,Input,A11,SL04,Driver Percentage Share,15.2
2026-04,Budget,Input,A11,SL03,Driver Percentage Share,23.28
2026-04,Budget,Input,A11,SL02,Driver Percentage Share,26.53
2026-04,Budget,Input,A11,Input,Pool to Activity Basis,BEDDAYS
2026-04,Budget,Input,A11,Input,Input Volume,256
