vGBL Period,vGBL Version,vGBL Account,vGBL Cost Centre,vCST Cost Pool,vCST Service Line,vCST Account Config Measure,vAmount
2026-04,Budget,4001,Input,Input,Input,Apportionment Type,Exclude
2026-04,Budget,4002,Input,Input,Input,Apportionment Type,Exclude
2026-04,Budget,4003,Input,Input,Input,Apportionment Type,Exclude
2026-04,Budget,4004,Input,Input,Input,Apportionment Type,Exclude
2026-04,Budget,4005,Input,Input,Input,Apportionment Type,Exclude
2026-04,Budget,5001,Input,Input,Input,Apportionment Type,Direct
2026-04,Budget,5002,Input,Input,Input,Apportionment Type,Direct
2026-04,Budget,5003,Input,Input,Input,Apportionment Type,Direct
2026-04,Budget,6001,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6002,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6003,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6004,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6005,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6006,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6007,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6008,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6009,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6010,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6011,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6012,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6013,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6014,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6015,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6016,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6017,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6018,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6019,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6020,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6021,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6022,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6023,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6024,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6025,Input,Input,Input,Apportionment Type,Indirect
2026-04,Budget,6026,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,4001,Input,Input,Input,Apportionment Type,Exclude
2026-05,Budget,4002,Input,Input,Input,Apportionment Type,Exclude
2026-05,Budget,4003,Input,Input,Input,Apportionment Type,Exclude
2026-05,Budget,4004,Input,Input,Input,Apportionment Type,Exclude
2026-05,Budget,4005,Input,Input,Input,Apportionment Type,Exclude
2026-05,Budget,5001,Input,Input,Input,Apportionment Type,Direct
2026-05,Budget,5002,Input,Input,Input,Apportionment Type,Direct
2026-05,Budget,5003,Input,Input,Input,Apportionment Type,Direct
2026-05,Budget,6001,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6002,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6003,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6004,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6005,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6006,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6007,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6008,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6009,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6010,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6011,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6012,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6013,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6014,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6015,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6016,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6017,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6018,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6019,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6020,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6021,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6022,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6023,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6024,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6025,Input,Input,Input,Apportionment Type,Indirect
2026-05,Budget,6026,Input,Input,Input,Apportionment Type,Indirect
2026-06,Budget,4001,Input,Input,Input,Apportionment Type,Exclude
2026-06,Budget,4002,Input,Input,Input,Apportionment Type,Exclude
2026-06,Budget,4003,Input,Input,Input,Apportionment Type,Exclude
2026-06,Budget,4004,Input,Input,Input,Apportionment Type,Exclude
2026-06,Budget,4005,Input,Input,Input,Apportionment Type,Exclude
2026-06,Budget,5001,Input,Input,Input,Apportionment Type,Direct
2026-06,Budget,5002,Input,Input,Input,Apportionment Type,Direct
2026-06,Budget,5003,Input,Input,Input,Apportionment Type,Direct
2026-06,Budget,6001,Input,Input,Input,Apportionment Type,Indirect
2026-06,Budget,6002,Input,Input,Input,Apportionment Type,Indirect
