vGBL Period,vGBL Version,vGBL Account,vGBL Cost Centre,vCST Cost Pool,vCST Service Line,vCST Account Config Measure,vAmount
2026-04,Budget,5001,D001,Input,SL01,Direct Percentage Share,55.2
2026-04,Budget,5001,D001,Input,SL06,Direct Percentage Share,44.8
2026-04,Budget,5001,D002,Input,SL02,Direct Percentage Share,93.4
2026-04,Budget,5001,D002,Input,SL05,Direct Percentage Share,6.6
2026-04,Budget,5001,D003,Input,SL04,Direct Percentage Share,3.03
2026-04,Budget,5001,D003,Input,SL05,Direct Percentage Share,22.72
2026-04,Budget,5001,D003,Input,SL07,Direct Percentage Share,74.25
2026-04,Budget,5001,D004,Input,SL04,Direct Percentage Share,41.37
2026-04,Budget,5001,D004,Input,SL08,Direct Percentage Share,8.7
2026-04,Budget,5001,D004,Input,SL05,Direct Percentage Share,23.04
2026-04,Budget,5001,D004,Input,SL03,Direct Percentage Share,15.15
2026-04,Budget,5001,D004,Input,SL01,Direct Percentage Share,11.74
2026-04,Budget,5001,D005,Input,SL02,Direct Percentage Share,35.51
2026-04,Budget,5001,D005,Input,SL01,Direct Percentage Share,34.02
2026-04,Budget,5001,D005,Input,SL04,Direct Percentage Share,26.17
2026-04,Budget,5001,D005,Input,SL07,Direct Percentage Share,4.3
2026-04,Budget,5001,D006,Input,SL02,Direct Percentage Share,23.09
2026-04,Budget,5001,D006,Input,SL04,Direct Percentage Share,17.22
2026-04,Budget,5001,D006,Input,SL01,Direct Percentage Share,23.99
2026-04,Budget,5001,D006,Input,SL05,Direct Percentage Share,16.08
2026-04,Budget,5001,D006,Input,SL03,Direct Percentage Share,19.62
2026-04,Budget,5001,D007,Input,SL04,Direct Percentage Share,78.39
2026-04,Budget,5001,D007,Input,SL07,Direct Percentage Share,21.61
2026-04,Budget,5001,D008,Input,SL02,Direct Percentage Share,31.26
2026-04,Budget,5001,D008,Input,SL04,Direct Percentage Share,57.52
2026-04,Budget,5001,D008,Input,SL03,Direct Percentage Share,11.22
2026-04,Budget,5001,D009,Input,SL04,Direct Percentage Share,36.41
2026-04,Budget,5001,D009,Input,SL06,Direct Percentage Share,10.23
2026-04,Budget,5001,D009,Input,SL03,Direct Percentage Share,43.59
2026-04,Budget,5001,D009,Input,SL01,Direct Percentage Share,9.77
2026-04,Budget,5001,D010,Input,SL05,Direct Percentage Share,26.7
2026-04,Budget,5001,D010,Input,SL06,Direct Percentage Share,32.86
2026-04,Budget,5001,D010,Input,SL07,Direct Percentage Share,30.26
2026-04,Budget,5001,D010,Input,SL08,Direct Percentage Share,8.93
2026-04,Budget,5001,D010,Input,SL02,Direct Percentage Share,1.25
2026-04,Budget,5001,D011,Input,SL07,Direct Percentage Share,37.87
2026-04,Budget,5001,D011,Input,SL03,Direct Percentage Share,23.53
2026-04,Budget,5001,D011,Input,SL01,Direct Percentage Share,29.78
2026-04,Budget,5001,D011,Input,SL02,Direct Percentage Share,8.82
2026-04,Budget,5001,D012,Input,SL07,Direct Percentage Share,5.38
2026-04,Budget,5001,D012,Input,SL06,Direct Percentage Share,28.66
2026-04,Budget,5001,D012,Input,SL04,Direct Percentage Share,20.74
2026-04,Budget,5001,D012,Input,SL02,Direct Percentage Share,28.74
2026-04,Budget,5001,D012,Input,SL03,Direct Percentage Share,16.48
2026-04,Budget,5001,D013,Input,SL06,Direct Percentage Share,5.45
2026-04,Budget,5001,D013,Input,SL02,Direct Percentage Share,2.83
2026-04,Budget,5001,D013,Input,SL07,Direct Percentage Share,6.58
2026-04,Budget,5001,D013,Input,SL05,Direct Percentage Share,37.63
2026-04,Budget,5001,D013,Input,SL04,Direct Percentage Share,47.51
2026-04,Budget,5001,D014,Input,SL02,Direct Percentage Share,17.11
2026-04,Budget,5001,D014,Input,SL04,Direct Percentage Share,31.39
2026-04,Budget,5001,D014,Input,SL07,Direct Percentage Share,27.83
2026-04,Budget,5001,D014,Input,SL05,Direct Percentage Share,0.37
2026-04,Budget,5001,D014,Input,SL06,Direct Percentage Share,23.3
2026-04,Budget,5001,D015,Input,SL06,Direct Percentage Share,9.87
2026-04,Budget,5001,D015,Input,SL01,Direct Percentage Share,0.2
2026-04,Budget,5001,D015,Input,SL03,Direct Percentage Share,45.04
2026-04,Budget,5001,D015,Input,SL04,Direct Percentage Share,44.89
2026-04,Budget,5001,D016,Input,SL02,Direct Percentage Share,19.3
2026-04,Budget,5001,D016,Input,SL07,Direct Percentage Share,41.32
2026-04,Budget,5001,D016,Input,SL06,Direct Percentage Share,39.38
2026-04,Budget,5001,D017,Input,SL06,Direct Percentage Share,29.18
2026-04,Budget,5001,D017,Input,SL07,Direct Percentage Share,42.13
2026-04,Budget,5001,D017,Input,SL02,Direct Percentage Share,28.69
2026-04,Budget,5002,D001,Input,SL06,Direct Percentage Share,2.05
2026-04,Budget,5002,D001,Input,SL04,Direct Percentage Share,97.95
2026-04,Budget,5002,D002,Input,SL04,Direct Percentage Share,59.64
2026-04,Budget,5002,D002,Input,SL01,Direct Percentage Share,5.39
2026-04,Budget,5002,D002,Input,SL02,Direct Percentage Share,30.61
2026-04,Budget,5002,D002,Input,SL05,Direct Percentage Share,4.36
2026-04,Budget,5002,D003,Input,SL03,Direct Percentage Share,57.75
2026-04,Budget,5002,D003,Input,SL06,Direct Percentage Share,10.07
2026-04,Budget,5002,D003,Input,SL04,Direct Percentage Share,32.18
2026-04,Budget,5002,D004,Input,SL04,Direct Percentage Share,14.28
2026-04,Budget,5002,D004,Input,SL05,Direct Percentage Share,24.03
2026-04,Budget,5002,D004,Input,SL06,Direct Percentage Share,13.36
2026-04,Budget,5002,D004,Input,SL02,Direct Percentage Share,32.18
2026-04,Budget,5002,D004,Input,SL03,Direct Percentage Share,16.15
2026-04,Budget,5002,D005,Input,SL04,Direct Percentage Share,1.81
2026-04,Budget,5002,D005,Input,SL01,Direct Percentage Share,47.61
