vGBL Period,vGBL Version,vGBL Account,vGBL Cost Centre,vCST Cost Pool,vCST Service Line,vCST Account Config Measure,vAmount
2026-04,Budget,4001,D001,Input,Input,Amount,621905
2026-04,Budget,4001,D002,Input,Input,Amount,628540
2026-04,Budget,4001,D003,Input,Input,Amount,619453
2026-04,Budget,4001,D004,Input,Input,Amount,618618
2026-04,Budget,4001,D005,Input,Input,Amount,602059
2026-04,Budget,4001,D006,Input,Input,Amount,610108
2026-04,Budget,4001,D007,Input,Input,Amount,592601
2026-04,Budget,4001,D008,Input,Input,Amount,598217
2026-04,Budget,4001,D009,Input,Input,Amount,624796
2026-04,Budget,4001,D010,Input,Input,Amount,604867
2026-04,Budget,4001,D011,Input,Input,Amount,63658
2026-04,Budget,4001,D012,Input,Input,Amount,52630
2026-04,Budget,4001,D013,Input,Input,Amount,450414
2026-04,Budget,4001,D014,Input,Input,Amount,384891
2026-04,Budget,4001,D015,Input,Input,Amount,302212
2026-04,Budget,4001,D016,Input,Input,Amount,274805
2026-04,Budget,4001,D017,Input,Input,Amount,464614
2026-04,Budget,4002,D001,Input,Input,Amount,587296
2026-04,Budget,4002,D002,Input,Input,Amount,615741
2026-04,Budget,4002,D003,Input,Input,Amount,581739
2026-04,Budget,4002,D004,Input,Input,Amount,598231
2026-04,Budget,4002,D005,Input,Input,Amount,586698
2026-04,Budget,4002,D006,Input,Input,Amount,615142
2026-04,Budget,4002,D007,Input,Input,Amount,626174
2026-04,Budget,4002,D008,Input,Input,Amount,609714
2026-04,Budget,4002,D009,Input,Input,Amount,622469
2026-04,Budget,4002,D010,Input,Input,Amount,597691
2026-04,Budget,4002,D011,Input,Input,Amount,110986
2026-04,Budget,4002,D012,Input,Input,Amount,605587
2026-04,Budget,4002,D013,Input,Input,Amount,572525
2026-04,Budget,4002,D014,Input,Input,Amount,482995
2026-04,Budget,4002,D015,Input,Input,Amount,307645
2026-04,Budget,4002,D016,Input,Input,Amount,327405
2026-04,Budget,4002,D017,Input,Input,Amount,101521
2026-04,Budget,4003,D001,Input,Input,Amount,581639
2026-04,Budget,4003,D002,Input,Input,Amount,585697
2026-04,Budget,4003,D003,Input,Input,Amount,616781
2026-04,Budget,4003,D004,Input,Input,Amount,580425
2026-04,Budget,4003,D005,Input,Input,Amount,586078
2026-04,Budget,4003,D006,Input,Input,Amount,588180
2026-04,Budget,4003,D007,Input,Input,Amount,584558
2026-04,Budget,4003,D008,Input,Input,Amount,621660
2026-04,Budget,4003,D009,Input,Input,Amount,584679
2026-04,Budget,4003,D010,Input,Input,Amount,621943
2026-04,Budget,4003,D011,Input,Input,Amount,595429
2026-04,Budget,4003,D012,Input,Input,Amount,258177
2026-04,Budget,4003,D013,Input,Input,Amount,284652
2026-04,Budget,4003,D014,Input,Input,Amount,514627
2026-04,Budget,4003,D015,Input,Input,Amount,236849
2026-04,Budget,4003,D016,Input,Input,Amount,71949
2026-04,Budget,4003,D017,Input,Input,Amount,64742
2026-04,Budget,4004,D001,Input,Input,Amount,250772
2026-04,Budget,4004,D002,Input,Input,Amount,299006
2026-04,Budget,4004,D003,Input,Input,Amount,267432
2026-04,Budget,4004,D004,Input,Input,Amount,614501
2026-04,Budget,4004,D005,Input,Input,Amount,186938
2026-04,Budget,4004,D006,Input,Input,Amount,439992
2026-04,Budget,4004,D007,Input,Input,Amount,135718
2026-04,Budget,4004,D008,Input,Input,Amount,105062
2026-04,Budget,4004,D009,Input,Input,Amount,73798
2026-04,Budget,4004,D010,Input,Input,Amount,230459
2026-04,Budget,4004,D011,Input,Input,Amount,258191
2026-04,Budget,4004,D012,Input,Input,Amount,310568
2026-04,Budget,4004,D013,Input,Input,Amount,197517
2026-04,Budget,4004,D014,Input,Input,Amount,343171
2026-04,Budget,4004,D015,Input,Input,Amount,275206
2026-04,Budget,4004,D016,Input,Input,Amount,48757
2026-04,Budget,4004,D017,Input,Input,Amount,358483
2026-04,Budget,4005,D001,Input,Input,Amount,609974
2026-04,Budget,4005,D002,Input,Input,Amount,475146
2026-04,Budget,4005,D003,Input,Input,Amount,261495
2026-04,Budget,4005,D004,Input,Input,Amount,90008
2026-04,Budget,4005,D005,Input,Input,Amount,445769
2026-04,Budget,4005,D006,Input,Input,Amount,203165
2026-04,Budget,4005,D007,Input,Input,Amount,278344
2026-04,Budget,4005,D008,Input,Input,Amount,98274
2026-04,Budget,4005,D009,Input,Input,Amount,95274
2026-04,Budget,4005,D010,Input,Input,Amount,588239
2026-04,Budget,4005,D011,Input,Input,Amount,621162
2026-04,Budget,4005,D012,Input,Input,Amount,251980
2026-04,Budget,4005,D013,Input,Input,Amount,356750
2026-04,Budget,4005,D014,Input,Input,Amount,551636
2026-04,Budget,4005,D015,Input,Input,Amount,252387
2026-04,Budget,4005,D016,Input,Input,Amount,517829
2026-04,Budget,4005,D017,Input,Input,Amount,485199
2026-04,Budget,5001,D001,Input,Input,Amount,378598
2026-04,Budget,5001,D002,Input,Input,Amount,368698
2026-04,Budget,5001,D003,Input,Input,Amount,343031
2026-04,Budget,5001,D004,Input,Input,Amount,379729
2026-04,Budget,5001,D005,Input,Input,Amount,354898
2026-04,Budget,5001,D006,Input,Input,Amount,354807
2026-04,Budget,5001,D007,Input,Input,Amount,333003
2026-04,Budget,5001,D008,Input,Input,Amount,353909
2026-04,Budget,5001,D009,Input,Input,Amount,369920
2026-04,Budget,5001,D010,Input,Input,Amount,375099
2026-04,Budget,5001,D011,Input,Input,Amount,562998
2026-04,Budget,5001,D012,Input,Input,Amount,507909
2026-04,Budget,5001,D013,Input,Input,Amount,583162
2026-04,Budget,5001,D014,Input,Input,Amount,518181
2026-04,Budget,5001,D015,Input,Input,Amount,433874
2026-04,Budget,5001,D016,Input,Input,Amount,280784
2026-04,Budget,5001,D017,Input,Input,Amount,212702
2026-04,Budget,5002,D001,Input,Input,Amount,348024
2026-04,Budget,5002,D002,Input,Input,Amount,357651
2026-04,Budget,5002,D003,Input,Input,Amount,376925
2026-04,Budget,5002,D004,Input,Input,Amount,340463
2026-04,Budget,5002,D005,Input,Input,Amount,336338
2026-04,Budget,5002,D006,Input,Input,Amount,335164
2026-04,Budget,5002,D007,Input,Input,Amount,373336
2026-04,Budget,5002,D008,Input,Input,Amount,340659
2026-04,Budget,5002,D009,Input,Input,Amount,371613
2026-04,Budget,5002,D010,Input,Input,Amount,366500
2026-04,Budget,5002,D011,Input,Input,Amount,451024
2026-04,Budget,5002,D012,Input,Input,Amount,460158
2026-04,Budget,5002,D013,Input,Input,Amount,261508
2026-04,Budget,5002,D014,Input,Input,Amount,82627
2026-04,Budget,5002,D015,Input,Input,Amount,185321
2026-04,Budget,5002,D016,Input,Input,Amount,205683
2026-04,Budget,5002,D017,Input,Input,Amount,566933
2026-04,Budget,5003,D001,Input,Input,Amount,346049
2026-04,Budget,5003,D002,Input,Input,Amount,332082
2026-04,Budget,5003,D003,Input,Input,Amount,372590
2026-04,Budget,5003,D004,Input,Input,Amount,375753
2026-04,Budget,5003,D005,Input,Input,Amount,353526
2026-04,Budget,5003,D006,Input,Input,Amount,366178
2026-04,Budget,5003,D007,Input,Input,Amount,344935
2026-04,Budget,5003,D008,Input,Input,Amount,354260
2026-04,Budget,5003,D009,Input,Input,Amount,341215
2026-04,Budget,5003,D010,Input,Input,Amount,344392
2026-04,Budget,5003,D011,Input,Input,Amount,488707
2026-04,Budget,5003,D012,Input,Input,Amount,399503
2026-04,Budget,5003,D013,Input,Input,Amount,402566
2026-04,Budget,5003,D014,Input,Input,Amount,562485
2026-04,Budget,5003,D015,Input,Input,Amount,363352
2026-04,Budget,5003,D016,Input,Input,Amount,169891
2026-04,Budget,5003,D017,Input,Input,Amount,531079
2026-04,Budget,6001,D001,Input,Input,Amount,79628
2026-04,Budget,6001,D002,Input,Input,Amount,66952
2026-04,Budget,6001,D003,Input,Input,Amount,110962
2026-04,Budget,6001,D004,Input,Input,Amount,92696
2026-04,Budget,6001,D005,Input,Input,Amount,87541
2026-04,Budget,6001,D006,Input,Input,Amount,84213
2026-04,Budget,6001,D007,Input,Input,Amount,83965
2026-04,Budget,6001,D008,Input,Input,Amount,88283
2026-04,Budget,6001,D009,Input,Input,Amount,100005
2026-04,Budget,6001,D010,Input,Input,Amount,109866
2026-04,Budget,6001,D011,Input,Input,Amount,194337
2026-04,Budget,6001,D012,Input,Input,Amount,484344
2026-04,Budget,6001,D013,Input,Input,Amount,565376
2026-04,Budget,6001,D014,Input,Input,Amount,71967
2026-04,Budget,6001,D015,Input,Input,Amount,192689
2026-04,Budget,6001,D016,Input,Input,Amount,584692
2026-04,Budget,6001,D017,Input,Input,Amount,293223
2026-04,Budget,6002,D001,Input,Input,Amount,74144
2026-04,Budget,6002,D002,Input,Input,Amount,71140
2026-04,Budget,6002,D003,Input,Input,Amount,100713
2026-04,Budget,6002,D004,Input,Input,Amount,87298
2026-04,Budget,6002,D005,Input,Input,Amount,104565
2026-04,Budget,6002,D006,Input,Input,Amount,106198
2026-04,Budget,6002,D007,Input,Input,Amount,70229
2026-04,Budget,6002,D008,Input,Input,Amount,78730
2026-04,Budget,6002,D009,Input,Input,Amount,112784
2026-04,Budget,6002,D010,Input,Input,Amount,86252
2026-04,Budget,6002,D011,Input,Input,Amount,55539
2026-04,Budget,6002,D012,Input,Input,Amount,611760
2026-04,Budget,6002,D013,Input,Input,Amount,277808
2026-04,Budget,6002,D014,Input,Input,Amount,424534
2026-04,Budget,6002,D015,Input,Input,Amount,131525
2026-04,Budget,6002,D016,Input,Input,Amount,222321
2026-04,Budget,6002,D017,Input,Input,Amount,308869
2026-04,Budget,6003,D001,Input,Input,Amount,113265
2026-04,Budget,6003,D002,Input,Input,Amount,79328
2026-04,Budget,6003,D003,Input,Input,Amount,92493
2026-04,Budget,6003,D004,Input,Input,Amount,83210
2026-04,Budget,6003,D005,Input,Input,Amount,82335
2026-04,Budget,6003,D006,Input,Input,Amount,105535
2026-04,Budget,6003,D007,Input,Input,Amount,80256
2026-04,Budget,6003,D008,Input,Input,Amount,108920
