vGBL Period,vGBL Version,vCST Cost Pool,vCST Cost Pool Dest,vCST Pool to Pool Config Measure,vAmount
2026-04,Budget,CP01,Input,Driver Description,FLOORSPACE
2026-04,Budget,CP01,Input,Redistribution Percentage,45.5
2026-04,Budget,CP01,CP03,Active,1
2026-04,Budget,CP01,CP03,Driver Value,1412
2026-04,Budget,CP01,CP05,Active,1
2026-04,Budget,CP01,CP05,Driver Value,704
2026-04,Budget,CP01,CP08,Active,1
2026-04,Budget,CP01,CP08,Driver Value,2753
2026-04,Budget,CP02,Input,Driver Description,POWERUSAGE
2026-04,Budget,CP02,Input,Redistribution Percentage,38.7
2026-04,Budget,CP02,CP05,Active,1
2026-04,Budget,CP02,CP05,Driver Value,42098
2026-04,Budget,CP02,CP03,Active,1
2026-04,Budget,CP02,CP03,Driver Value,39256
2026-04,Budget,CP02,CP08,Active,1
2026-04,Budget,CP02,CP08,Driver Value,28289
2026-04,Budget,CP03,Input,Driver Description,HEADCOUNT
2026-04,Budget,CP03,Input,Redistribution Percentage,95.01
2026-04,Budget,CP03,CP05,Active,1
2026-04,Budget,CP03,CP05,Driver Value,36
2026-04,Budget,CP03,CP02,Active,1
2026-04,Budget,CP03,CP02,Driver Value,149
2026-04,Budget,CP06,Input,Driver Description,POWERUSAGE
2026-04,Budget,CP06,Input,Redistribution Percentage,61.8
2026-04,Budget,CP06,CP01,Active,1
2026-04,Budget,CP06,CP01,Driver Value,21395
2026-04,Budget,CP06,CP07,Active,1
2026-04,Budget,CP06,CP07,Driver Value,87397
2026-04,Budget,CP06,CP08,Active,1
2026-04,Budget,CP06,CP08,Driver Value,65302
2026-04,Budget,CP07,Input,Driver Description,BEDDAYS
2026-04,Budget,CP07,Input,Redistribution Percentage,88.1
2026-04,Budget,CP07,CP02,Active,1
2026-04,Budget,CP07,CP02,Driver Value,760
2026-04,Budget,CP07,CP04,Active,1
2026-04,Budget,CP07,CP04,Driver Value,744
2026-05,Budget,CP01,Input,Driver Description,FLOORSPACE
2026-05,Budget,CP01,Input,Redistribution Percentage,45.5
2026-05,Budget,CP01,CP03,Active,1
2026-05,Budget,CP01,CP03,Driver Value,1267
2026-05,Budget,CP01,CP05,Active,1
2026-05,Budget,CP01,CP05,Driver Value,2291
2026-05,Budget,CP01,CP08,Active,1
2026-05,Budget,CP01,CP08,Driver Value,2405
2026-05,Budget,CP02,Input,Driver Description,POWERUSAGE
2026-05,Budget,CP02,Input,Redistribution Percentage,38.7
2026-05,Budget,CP02,CP05,Active,1
2026-05,Budget,CP02,CP05,Driver Value,76237
2026-05,Budget,CP02,CP03,Active,1
2026-05,Budget,CP02,CP03,Driver Value,88907
2026-05,Budget,CP02,CP08,Active,1
2026-05,Budget,CP02,CP08,Driver Value,13478
